epoch,train_loss,val_mae,val_rmse,val_r2,val_spearman
1,0.721546,0.391454,0.618171,0.429967,0.722872
2,0.523936,0.940084,1.124469,-0.886154,0.688561
3,0.468340,0.445071,0.731644,0.201487,0.752002
4,0.450289,0.351793,0.520327,0.596136,0.785985
5,0.418203,0.323631,0.530480,0.580221,0.813625
6,0.412641,0.312309,0.510926,0.610599,0.826708
7,0.390841,0.303372,0.475785,0.662321,0.816492
8,0.374452,0.302209,0.503473,0.621876,0.817128
9,0.369643,0.314006,0.487467,0.645536,0.802749
10,0.366537,0.327827,0.550933,0.547228,0.812715
11,0.356361,0.408948,0.533662,0.575171,0.835742
12,0.342736,0.412924,0.597328,0.467759,0.840500
13,0.329927,0.335918,0.499527,0.627780,0.847729
14,0.330392,0.463425,0.662611,0.345064,0.789931
15,0.324395,0.380580,0.566069,0.522008,0.834677
16,0.311539,0.303357,0.577610,0.502318,0.828206
17,0.311513,0.298697,0.502863,0.622792,0.827979
18,0.307477,0.277101,0.472999,0.666265,0.846362
19,0.299677,0.325716,0.505174,0.619317,0.844346
20,0.300475,0.355783,0.604238,0.455374,0.825536
21,0.291056,0.283722,0.494369,0.635427,0.825924
22,0.284308,0.297887,0.522338,0.593008,0.857048
23,0.284614,0.312234,0.515950,0.602902,0.816662
24,0.278190,0.335753,0.516793,0.601603,0.843673
25,0.276377,0.506661,0.701313,0.266321,0.845036
26,0.269333,0.270904,0.445089,0.704487,0.855906
27,0.260849,0.304232,0.515840,0.603071,0.842484
28,0.276502,0.337908,0.549154,0.550146,0.859657
29,0.264315,0.277538,0.511861,0.609172,0.857129
30,0.254150,0.335377,0.547375,0.553056,0.829773
31,0.256874,0.264149,0.498374,0.629497,0.864111
32,0.251574,0.308368,0.514545,0.605062,0.852226
33,0.243903,0.515864,0.704480,0.259680,0.851103
34,0.240163,0.314423,0.542171,0.561514,0.849610
35,0.242215,0.278638,0.493196,0.637156,0.848704
36,0.235604,0.264560,0.451276,0.696215,0.862696
37,0.231290,0.291449,0.529725,0.581416,0.851492
38,0.233764,0.281578,0.500328,0.626585,0.852839
39,0.229179,0.283591,0.571687,0.512473,0.864864
40,0.223900,0.272620,0.518857,0.598415,0.867258
41,0.231296,0.438762,0.603444,0.456805,0.840335
42,0.231649,0.269597,0.535561,0.572141,0.869564
43,0.222929,0.264818,0.482932,0.652101,0.870397
44,0.210997,0.258663,0.485463,0.648444,0.878114
45,0.212630,0.278591,0.509628,0.612574,0.876715
46,0.213392,0.255567,0.463976,0.678876,0.874687
47,0.213144,0.305315,0.524598,0.589479,0.849996
48,0.213014,0.325032,0.517609,0.600344,0.866764
49,0.202827,0.282180,0.470853,0.669285,0.864360
50,0.204695,0.288507,0.468057,0.673201,0.866829
51,0.194666,0.259399,0.458060,0.687013,0.869280
52,0.194462,0.256957,0.426891,0.728158,0.874072
53,0.199746,0.302447,0.745527,0.170897,0.858248
54,0.198767,0.305202,0.470150,0.670273,0.863588
55,0.189674,0.263364,0.521583,0.594183,0.875542
56,0.190136,0.259671,0.505917,0.618196,0.878723
57,0.189189,0.261676,0.504928,0.619686,0.871519
58,0.192907,0.326944,0.604649,0.454632,0.871940
59,0.191942,0.265225,0.497452,0.630866,0.882944
60,0.186809,0.271289,0.461509,0.682282,0.872851
61,0.184197,0.331509,0.579067,0.499805,0.867787
62,0.177353,0.260707,0.489951,0.641913,0.870349
63,0.178513,0.278079,0.510381,0.611428,0.852956
64,0.174562,0.262136,0.569436,0.516304,0.873017
65,0.178264,0.252305,0.495079,0.634378,0.880658
66,0.174167,0.268925,0.522636,0.592543,0.870388
67,0.172277,0.272343,0.460177,0.684113,0.866566
68,0.169997,0.263087,0.457760,0.687422,0.875799
69,0.171309,0.251785,0.504079,0.620965,0.881580
70,0.167094,0.258629,0.424930,0.730650,0.873562
71,0.163514,0.277156,0.475605,0.662577,0.872132
72,0.164860,0.251455,0.445079,0.704500,0.875255
73,0.171986,0.291914,0.513965,0.605951,0.883180
74,0.168711,0.255512,0.416147,0.741669,0.866702
75,0.163507,0.241227,0.422668,0.733510,0.886761
76,0.158979,0.251321,0.401429,0.759620,0.882353
77,0.157868,0.245804,0.419540,0.737440,0.884068
78,0.154563,0.257185,0.441221,0.709601,0.883467
79,0.153909,0.253941,0.460727,0.683357,0.886359
80,0.161830,0.256490,0.475891,0.662171,0.882477
81,0.150409,0.260891,0.418857,0.738294,0.883726
82,0.150020,0.291653,0.442853,0.707449,0.866582
83,0.151475,0.244779,0.478071,0.659069,0.886739
84,0.148098,0.252904,0.502099,0.623937,0.874825
85,0.151638,0.254520,0.443034,0.707210,0.874265
86,0.152415,0.315315,0.516755,0.601662,0.871212
87,0.147319,0.242648,0.416167,0.741644,0.886400
88,0.141914,0.257529,0.437671,0.714256,0.885170
89,0.136685,0.279116,0.457527,0.687740,0.888446
90,0.142531,0.262564,0.485671,0.648143,0.878699
91,0.139311,0.249777,0.439249,0.712191,0.878243
92,0.133332,0.254070,0.511688,0.609435,0.882909
93,0.134403,0.232685,0.392331,0.770392,0.884459
94,0.136177,0.260529,0.440622,0.710389,0.879890
95,0.132762,0.259511,0.442871,0.707425,0.879286
96,0.132616,0.239211,0.435754,0.716754,0.888934
97,0.132116,0.244808,0.419733,0.737198,0.884984
98,0.130245,0.270221,0.430365,0.723715,0.879973
99,0.130213,0.240729,0.400975,0.760162,0.885388
100,0.126137,0.235808,0.386736,0.776893,0.882152
